Season,State_Name,Crop,Production
Whole Year,Madhya Pradesh,Wheat,8865378.00
Kharif,Gujarat,Maize,8773000.00
Rabi,Uttar Pradesh,Barley,8594791.00
Whole Year,Andhra Pradesh,Rice,8455584.00
Rabi,Telangana,Maize,8435198.00
Kharif,Karnataka,Groundnut,8174496.00
Whole Year,Tamil Nadu,Total foodgrain,8103700.00
Kharif,Uttarakhand,Rice,8101593.00
Kharif,Punjab,Maize,8052000.00
Kharif,Himachal Pradesh,Maize,7813360.00
Whole Year,Kerala,Banana,7655661.99
Rabi,Andhra Pradesh,Gram,7502444.00
Rabi,Rajasthan,Barley,7442917.00
Summer,Gujarat,Bajra,7420800.00
Whole Year,Rajasthan,Guar seed,7400477.00
Autumn,Assam,Rice,7008303.00
Whole Year,Tamil Nadu,Rice,6893730.00
Kharif,Karnataka,Jowar,6865321.00
Kharif,Karnataka,Onion,6859174.00
Whole Year,Rajasthan,Sugarcane,6674677.00
Kharif,Andhra Pradesh,Mesta,6655281.00
Rabi,West Bengal,Rapeseed &Mustard,6448715.00
Whole Year,Madhya Pradesh,Soyabean,6419022.00
Winter,Jharkhand,Rice,6418843.73
Whole Year,Madhya Pradesh,Banana,6405551.00
Kharif,Andhra Pradesh,Dry chillies,6291055.00
Rabi,Uttar Pradesh,Masoor,6229900.00
Kharif,Uttarakhand,Sugarcane,6108965.00
Rabi,Himachal Pradesh,Wheat,6105703.00
Kharif,Karnataka,Arhar/Tur,6038696.00
Kharif,Andhra Pradesh,Mango,5940349.00
Rabi,Karnataka,Gram,5883069.00
Rabi,Gujarat,Rapeseed &Mustard,5844000.00
Kharif,Tamil Nadu,Maize,5660820.00
Kharif,Rajasthan,Cotton(lint),5571377.00
Autumn,Bihar,Maize,5541691.00
Rabi,Uttar Pradesh,Peas & beans (Pulses),5470940.00
Kharif,Uttar Pradesh,Arhar/Tur,5415396.00
Kharif,Rajasthan,Groundnut,5380526.00
Whole Year,Tamil Nadu,Groundnut,5332557.00
Whole Year,Karnataka,Dry ginger,5244235.90
Kharif,Nagaland,Rice,5215480.00
Kharif,Maharashtra,Groundnut,5100159.00
Winter,Kerala,Rice,5057107.72
Kharif,Andhra Pradesh,Onion,4954112.00
Winter,Odisha,Paddy,4938032.00
Rabi,Gujarat,Onion,4768900.00
Whole Year,Karnataka,Onion,4755450.00
Kharif,Jammu and Kashmir,Maize,4753864.00
Whole Year,Maharashtra,Cotton(lint),4691600.00
Rabi,Andhra Pradesh,Groundnut,4478099.00
Rabi,Andhra Pradesh,Urad,4442049.00
Kharif,Uttar Pradesh,Jowar,4374182.00
Kharif,Karnataka,Bajra,4297427.00
Kharif,Maharashtra,Moong(Green Gram),4212475.00
Rabi,Karnataka,Maize,4184680.00
Kharif,Madhya Pradesh,Bajra,4150923.30
Kharif,Jammu and Kashmir,Rice,4116594.40
Summer,Bihar,Rice,4096423.00
Whole Year,Tamil Nadu,Maize,4060117.00
Kharif,Gujarat,Arhar/Tur,4005300.00
Kharif,Madhya Pradesh,Groundnut,3984640.00
Kharif,Madhya Pradesh,Arhar/Tur,3932516.00
Rabi,Karnataka,Wheat,3856245.00
Whole Year,Gujarat,Oilseeds total,3845031.00
Kharif,Maharashtra,Urad,3831797.00
Whole Year,Rajasthan,Onion,3826689.00
Whole Year,Kerala,Sugarcane,3819915.84
Kharif,Rajasthan,Jowar,3719288.00
Rabi,Jammu and Kashmir,Wheat,3690082.00
Rabi,Telangana,Groundnut,3667275.00
Whole Year,Maharashtra,Banana,3634720.00
Whole Year,Haryana,Potato,3621500.00
Kharif,Andhra Pradesh,other oilseeds,3578058.00
Whole Year,Tamil Nadu,Guar seed,3514258.00
Kharif,Karnataka,Paddy,3509039.00
Summer,Assam,Paddy,3493976.00
Whole Year,Tamil Nadu,Onion,3470176.00
Kharif,Manipur,Rice,3468608.00
Kharif,Rajasthan,Moth,3453484.10
Autumn,Kerala,Rice,3442449.33
Rabi,Chhattisgarh,Khesari,3416795.00
Whole Year,Karnataka,Cotton(lint),3356848.00
Rabi,Andhra Pradesh,Jowar,3354891.00
Kharif,Bihar,Maize,3306246.00
Whole Year,Odisha,Sugarcane,3219207.90
Whole Year,Madhya Pradesh,Gram,3218273.00
Rabi,Maharashtra,Maize,3190497.00
Whole Year,Telangana,Turmeric,3187993.00
Kharif,Tamil Nadu,Jowar,3181920.00
Whole Year,Gujarat,Cotton(lint),3180200.00
Rabi,Telangana,Onion,3133266.00
