Season,State_Name,Crop,Production
Rabi,Uttar Pradesh,Linseed,311176.00
Whole Year,Rajasthan,other oilseeds,309893.00
Kharif,Maharashtra,Small millets,309000.00
Whole Year,Odisha,Dry chillies,307460.00
Whole Year,Telangana,Potato,306748.00
Kharif,Odisha,Jute,305553.00
Whole Year,West Bengal,Turmeric,304953.00
Kharif,Andhra Pradesh,Brinjal,303726.00
Whole Year,Telangana,Tobacco,303267.00
Whole Year,Telangana,Tomato,302641.00
Kharif,Maharashtra,Gram,295900.00
Kharif,Punjab,Moong(Green Gram),294900.00
Whole Year,Chhattisgarh,Banana,294156.00
Rabi,Uttar Pradesh,Maize,293758.00
Whole Year,Madhya Pradesh,Bajra,293506.00
Summer,Karnataka,Ragi,293239.00
Kharif,Odisha,Sweet potato,292450.00
Kharif,Karnataka,Castor seed,289492.00
Kharif,Nagaland,Tapioca,282500.00
Kharif,Telangana,Sunflower,281359.00
Kharif,Andhra Pradesh,Sapota,280427.00
Kharif,Gujarat,Ragi,279800.00
Kharif,Bihar,Urad,279730.00
Whole Year,West Bengal,Arecanut,278740.00
Whole Year,Haryana,Guar seed,278379.00
Rabi,Assam,Arecanut,274629.00
Whole Year,Uttar Pradesh,Garlic,274058.00
Whole Year,Karnataka,Citrus Fruit,272754.00
Whole Year,Madhya Pradesh,Masoor,272042.00
Whole Year,Bihar,Tobacco,269700.00
Summer,Gujarat,Sesamum,268100.00
Whole Year,Kerala,Papaya,267675.00
Whole Year,Odisha,Turmeric,266758.00
Rabi,Puducherry,Rice,265954.00
Winter,Odisha,Horse-gram,264353.30
Whole Year,Kerala,Pineapple,263381.00
Whole Year,Andhra Pradesh,Dry chillies,262156.00
Whole Year,Meghalaya,Arecanut,261176.00
Summer,Maharashtra,Maize,260416.00
Whole Year,West Bengal,Tobacco,259815.00
Winter,Odisha,Moong(Green Gram),258404.00
Rabi,Odisha,Groundnut,256770.00
Rabi,Andhra Pradesh,Ragi,254427.00
Whole Year,Madhya Pradesh,Arhar/Tur,253399.00
Rabi,Tamil Nadu,Urad,251946.00
Whole Year,Andhra Pradesh,Pome Fruit,251433.00
Whole Year,West Bengal,Rapeseed &Mustard,250950.00
Whole Year,Madhya Pradesh,Groundnut,249510.00
Rabi,Andhra Pradesh,Brinjal,248154.00
Kharif,Uttar Pradesh,Soyabean,247229.00
Whole Year,Tamil Nadu,Pulses total,244170.00
Rabi,Madhya Pradesh,Khesari,242246.00
Summer,West Bengal,Potato,241671.00
Summer,Karnataka,Jowar,236441.00
Rabi,Rajasthan,Peas & beans (Pulses),235241.00
Rabi,Bihar,Sunflower,234675.00
Whole Year,Telangana,Dry chillies,233959.00
Rabi,Chhattisgarh,Linseed,233844.00
Rabi,West Bengal,Groundnut,233092.00
Kharif,Chhattisgarh,Horse-gram,232613.00
Kharif,Odisha,Mesta,232260.00
Rabi,Punjab,Gram,232000.00
Kharif,Gujarat,Moth,231900.00
Kharif,Odisha,Moong(Green Gram),230277.90
Whole Year,Chhattisgarh,Sweet potato,228837.00
Autumn,Odisha,Ragi,226015.10
Kharif,Bihar,Ragi,225944.00
Rabi,Meghalaya,Rice,225326.00
Rabi,Assam,Peas & beans (Pulses),220368.00
Summer,Meghalaya,Rice,219024.00
Whole Year,Mizoram,Rice,218313.00
Kharif,Rajasthan,Arhar/Tur,216795.00
Kharif,Andhra Pradesh,Tobacco,216519.00
Rabi,Maharashtra,Linseed,215777.00
Whole Year,Tamil Nadu,Sweet potato,215209.00
Kharif,Uttar Pradesh,Small millets,214029.10
Whole Year,Uttar Pradesh,Banana,212312.00
Whole Year,Tamil Nadu,Sunflower,212050.00
Rabi,Telangana,Sunflower,211244.00
Whole Year,Meghalaya,Tapioca,211147.00
Rabi,Bihar,Moong(Green Gram),209775.00
Kharif,West Bengal,Dry ginger,209086.00
Kharif,Odisha,Urad,207607.00
Whole Year,Assam,Papaya,205733.00
Whole Year,Telangana,Onion,204366.00
Whole Year,Tamil Nadu,Arhar/Tur,203866.00
Kharif,Maharashtra,Niger seed,203630.00
Whole Year,Tamil Nadu,Cabbage,201342.00
Summer,Karnataka,Potato,200973.00
Autumn,Manipur,Rice,200290.00
Whole Year,Andhra Pradesh,Bhindi,199605.00
Kharif,Andaman and Nicobar Islands,Rice,199090.06
Kharif,Gujarat,Other Kharif pulses,198600.00
Whole Year,Uttarakhand,Dry ginger,197586.00
Kharif,Uttar Pradesh,Onion,195775.00
Whole Year,Uttarakhand,Onion,193509.00
Whole Year,Karnataka,Arcanut (Processed),192831.00
Kharif,Uttarakhand,Soyabean,191586.00
Rabi,Meghalaya,Potato,188202.00
Kharif,Mizoram,Maize,184554.00
Rabi,Assam,Masoor,183726.00
Kharif,Chhattisgarh,Niger seed,183667.00
Autumn,Jharkhand,Ragi,183569.48
Kharif,Telangana,other oilseeds,182085.00
Winter,Manipur,Rice,181900.00
Rabi,Andhra Pradesh,Papaya,181414.00
Whole Year,Assam,Turmeric,180527.00
Whole Year,Assam,Tapioca,180478.00
Kharif,Meghalaya,Tapioca,180108.00
Kharif,Andhra Pradesh,Sesamum,178232.00
Summer,Karnataka,Dry chillies,177998.00
Whole Year,Gujarat,Sesamum,177000.00
Kharif,Telangana,Bajra,176366.00
Rabi,Odisha,Moong(Green Gram),175720.00
Rabi,West Bengal,Peas & beans (Pulses),175643.00
Kharif,Madhya Pradesh,Moong(Green Gram),175140.00
Whole Year,Meghalaya,Pineapple,175004.00
Whole Year,Andhra Pradesh,Potato,174114.00
Kharif,Meghalaya,Total foodgrain,172595.00
Kharif,Punjab,Arhar/Tur,172500.00
Kharif,Nagaland,Potato,166630.00
Whole Year,Meghalaya,Sweet potato,166629.00
Kharif,Telangana,Ragi,165583.00
Kharif,Odisha,Dry ginger,164858.00
Rabi,Tamil Nadu,Ragi,164473.00
Rabi,Karnataka,Paddy,163930.00
Kharif,Bihar,Sunflower,162533.00
Whole Year,Goa,Other Vegetables,161921.00
Rabi,Tamil Nadu,Cotton(lint),161910.00
Whole Year,Himachal Pradesh,Sugarcane,161723.10
Whole Year,Mizoram,Sugarcane,161231.00
Kharif,Nagaland,Small millets,160560.00
Whole Year,Karnataka,Brinjal,160512.00
Whole Year,Tamil Nadu,Brinjal,160400.00
Whole Year,Odisha,Garlic,159628.00
Rabi,West Bengal,Urad,158535.00
Kharif,Tamil Nadu,Sunflower,157588.00
Whole Year,Manipur,Pineapple,155469.00
Kharif,Uttar Pradesh,Moong(Green Gram),155148.70
Summer,Puducherry,Rice,155060.00
Kharif,Andhra Pradesh,Urad,154774.00
Rabi,Uttarakhand,Rice,154093.00
Kharif,West Bengal,Ragi,152005.00
Whole Year,Meghalaya,Turmeric,150527.00
Whole Year,Assam,Orange,149577.00
Whole Year,Goa,Cashewnut,148291.00
Rabi,Jharkhand,Arhar/Tur,147679.01
Rabi,Haryana,Sunflower,146500.00
Summer,Uttar Pradesh,Sunflower,145065.00
Rabi,Telangana,Wheat,142819.00
Kharif,West Bengal,Sunflower,141789.00
Whole Year,Assam,Dry chillies,140663.00
Rabi,Rajasthan,Other  Rabi pulses,140620.00
Summer,Meghalaya,Potato,139328.00
Whole Year,Punjab,Guar seed,139100.00
Kharif,Gujarat,Soyabean,137900.00
Kharif,Karnataka,Cowpea(Lobia),137891.00
Rabi,Telangana,Urad,137776.00
Rabi,Uttarakhand,Rapeseed &Mustard,137325.00
Rabi,Tamil Nadu,Moong(Green Gram),137317.00
Kharif,Odisha,Niger seed,136830.00
Kharif,Nagaland,Jute,136480.00
Whole Year,Kerala,Cardamom,136342.00
Whole Year,Andhra Pradesh,Sweet potato,135931.00
Whole Year,Gujarat,Dry chillies,135900.00
Kharif,Punjab,Groundnut,135700.00
Whole Year,Tamil Nadu,Small millets,135629.00
Whole Year,Andhra Pradesh,Coriander,135326.00
Rabi,Tamil Nadu,Onion,134505.00
Whole Year,Tamil Nadu,Horse-gram,133937.00
Kharif,Uttarakhand,Other Kharif pulses,133521.00
Rabi,Andhra Pradesh,Sesamum,133240.00
Kharif,Bihar,Horse-gram,132808.00
Whole Year,Madhya Pradesh,Cotton(lint),132478.00
Kharif,Assam,Sesamum,131973.00
Whole Year,West Bengal,Maize,130390.00
Whole Year,Kerala,Coffee,130012.00
Kharif,Odisha,Cotton(lint),126120.00
Summer,West Bengal,Moong(Green Gram),125403.00
Summer,Uttarakhand,Onion,125394.00
Rabi,Karnataka,Dry chillies,124586.00
Kharif,Nagaland,Ginger,124390.00
Whole Year,Kerala,Turmeric,124363.93
Summer,Gujarat,Maize,121600.00
Whole Year,Haryana,Other Fresh Fruits,121500.00
Kharif,Himachal Pradesh,Dry ginger,121233.00
Whole Year,Kerala,Tea,121079.30
Whole Year,Tamil Nadu,Sesamum,120792.00
Kharif,Tamil Nadu,Other Kharif pulses,120367.00
Kharif,Telangana,Banana,119389.00
Whole Year,Kerala,Sweet potato,119231.00
Whole Year,Karnataka,Tapioca,119219.00
Whole Year,Meghalaya,Maize,119151.00
Kharif,Meghalaya,Cotton(lint),119033.00
Rabi,Punjab,Peas & beans (Pulses),118800.00
Kharif,Assam,Tapioca,117319.00
Kharif,Dadra and Nagar Haveli,Coconut,117288.00
Kharif,West Bengal,Cotton(lint),117142.00
Whole Year,Telangana,Dry ginger,117108.00
Rabi,Gujarat,Other  Rabi pulses,116300.00
Whole Year,Manipur,Potato,116010.00
Kharif,Punjab,Guar seed,115672.00
Rabi,Assam,Sweet potato,115095.00
Kharif,Maharashtra,Other Cereals & Millets,114400.00
Whole Year,Manipur,Sugarcane,111712.00
Kharif,Himachal Pradesh,Sugarcane,111510.00
Rabi,Telangana,Moong(Green Gram),111329.00
Kharif,Rajasthan,Onion,111300.00
Kharif,Andhra Pradesh,Korra,110939.00
Rabi,Nagaland,Wheat,110810.00
Kharif,Andhra Pradesh,Cashewnut,110702.00
Kharif,Karnataka,Niger seed,110614.00
Kharif,Karnataka,Peas & beans (Pulses),109360.00
Whole Year,Tamil Nadu,Tobacco,109175.00
Whole Year,Tamil Nadu,Pome Fruit,107687.00
Kharif,Uttarakhand,Urad,106775.00
Rabi,Sikkim,Wheat,106540.00
Rabi,Uttarakhand,Masoor,106339.00
Kharif,Punjab,Sesamum,105660.00
Rabi,Odisha,Urad,105570.00
Kharif,Meghalaya,Sweet potato,104007.00
Whole Year,Sikkim,Other Vegetables,103620.00
Rabi,Odisha,Gram,102881.00
Rabi,Arunachal Pradesh,Wheat,102145.00
Rabi,Nagaland,Peas & beans (Pulses),101730.00
Kharif,Uttarakhand,Horse-gram,99373.00
Kharif,Uttar Pradesh,Dry chillies,99321.00
Rabi,Meghalaya,Rapeseed &Mustard,98955.00
Kharif,Telangana,Sesamum,98825.00
Kharif,Chhattisgarh,Sesamum,98606.00
Whole Year,Karnataka,Beans & Mutter(Vegetable),98563.00
Whole Year,Madhya Pradesh,Barley,97660.00
Whole Year,Meghalaya,Cashewnut,97476.00
Whole Year,Andaman and Nicobar Islands,Banana,97424.65
Autumn,Odisha,Urad,97387.40
Kharif,Odisha,Sesamum,96921.60
Rabi,Odisha,Horse-gram,96910.00
Whole Year,Tamil Nadu,Grapes,95558.00
Whole Year,Telangana,Brinjal,95447.00
Rabi,Tamil Nadu,Bajra,94521.00
Kharif,Nagaland,Dry ginger,93320.00
Rabi,Telangana,Sesamum,92557.00
Whole Year,Kerala,Garlic,92255.00
Whole Year,Sikkim,Total foodgrain,92247.00
Rabi,Karnataka,Other  Rabi pulses,90921.00
Whole Year,Madhya Pradesh,Peas & beans (Pulses),90793.00
Whole Year,Tamil Nadu,Coriander,90385.10
Whole Year,Goa,Other Fresh Fruits,89643.00
Whole Year,Maharashtra,Tomato,89065.00
Kharif,Nagaland,Niger seed,88690.00
Kharif,Odisha,Small millets,88648.00
Whole Year,Tamil Nadu,Dry ginger,88586.00
Kharif,Haryana,Moong(Green Gram),88367.00
Kharif,Bihar,Moong(Green Gram),87898.10
Kharif,Assam,Arhar/Tur,87741.00
Rabi,Uttarakhand,Onion,87690.00
Kharif,Telangana,Masoor,87529.00
Kharif,Tripura,Mesta,87516.00
Autumn,West Bengal,Ragi,87335.00
Kharif,Puducherry,Tapioca,87199.00
Whole Year,Karnataka,Garlic,86394.00
Whole Year,Tamil Nadu,Arecanut,86296.00
Summer,Odisha,Maize,86211.20
Rabi,Nagaland,Linseed,85490.00
Rabi,West Bengal,Dry chillies,84887.00
Rabi,Himachal Pradesh,Potato,84556.00
Whole Year,Madhya Pradesh,Small millets,84404.00
Winter,Odisha,Sesamum,84096.30
Summer,Gujarat,Moong(Green Gram),83900.00
Rabi,Odisha,Other  Rabi pulses,83729.00
Kharif,Bihar,Jowar,83110.00
Summer,Maharashtra,Sunflower,82770.00
Kharif,Chhattisgarh,Jowar,82498.00
Whole Year,Uttarakhand,Ginger,82419.00
Whole Year,Jharkhand,Sugarcane,82173.01
Rabi,Telangana,Bajra,81898.00
Kharif,Odisha,Horse-gram,81678.50
Rabi,Telangana,Safflower,81367.00
Rabi,Jharkhand,Onion,81337.03
Kharif,Manipur,Maize,81043.00
Rabi,Assam,Linseed,79976.00
Whole Year,Odisha,Sannhamp,79340.00
Kharif,Madhya Pradesh,Horse-gram,78878.00
Kharif,Karnataka,Gram,78734.00
Rabi,Chhattisgarh,Masoor,78315.00
Rabi,Haryana,Other  Rabi pulses,78000.00
Whole Year,Tamil Nadu,Bhindi,77769.00
Rabi,Himachal Pradesh,Peas & beans (Pulses),77487.00
Rabi,Chhattisgarh,Peas & beans (Pulses),77393.00
Rabi,Jharkhand,Gram,77253.23
Whole Year,Kerala,Drum Stick,77113.00
Kharif,Puducherry,Banana,76267.00
Kharif,Gujarat,Other Cereals & Millets,76000.00
Kharif,Punjab,Bajra,75800.00
Kharif,Tamil Nadu,Other Cereals & Millets,75741.00
Kharif,Jammu and Kashmir,Bajra,75315.70
Kharif,Assam,Niger seed,75299.00
Kharif,Bihar,Small millets,74144.00
Rabi,Andhra Pradesh,Bajra,73381.00
Rabi,Madhya Pradesh,Jowar,73259.00
Kharif,Himachal Pradesh,Peas & beans (Pulses),72905.00
Kharif,Maharashtra,Total foodgrain,71618.00
Rabi,Odisha,Niger seed,70859.00
Whole Year,Haryana,Dry chillies,70600.00
Rabi,Nagaland,Maize,70560.00
Autumn,Odisha,Moong(Green Gram),70298.70
Kharif,Tamil Nadu,Potato,70206.00
Whole Year,Andhra Pradesh,Beans & Mutter(Vegetable),70041.00
Kharif,Assam,Small millets,69650.00
Whole Year,Meghalaya,Citrus Fruit,69642.00
Rabi,Karnataka,Linseed,69247.00
Whole Year,Madhya Pradesh,Dry ginger,69087.00
Rabi,Odisha,Sweet potato,68770.00
Rabi,Haryana,Masoor,68174.00
Whole Year,West Bengal,Sannhamp,68004.00
Rabi,Odisha,Wheat,67963.50
Rabi,Sikkim,Rapeseed &Mustard,67705.00
Kharif,Sikkim,Small millets,67141.00
Kharif,Tripura,Jute & mesta,66990.00
Rabi,Goa,Other  Rabi pulses,66897.00
Kharif,Bihar,Other Kharif pulses,66490.00
Kharif,Andhra Pradesh,Pome Granet,66334.00
Rabi,Uttar Pradesh,Sunflower,66294.00
Whole Year,Kerala,Cashewnut Raw,66087.00
Whole Year,Puducherry,Tapioca,66009.00
Whole Year,Telangana,Pome Fruit,65452.00
Kharif,Andhra Pradesh,Masoor,65424.00
Kharif,Andhra Pradesh,Samai,64425.00
Kharif,Tripura,Jute,64223.00
Kharif,Himachal Pradesh,Small millets,64202.00
Kharif,Andhra Pradesh,Niger seed,63757.00
Kharif,Nagaland,Arhar/Tur,63677.00
Kharif,Tamil Nadu,Dry ginger,63285.00
Rabi,Uttarakhand,Peas & beans (Pulses),62965.00
Whole Year,Puducherry,Banana,62533.00
Rabi,Assam,Moong(Green Gram),62473.00
Rabi,Nagaland,Other  Rabi pulses,62410.00
Whole Year,Telangana,Papaya,61959.00
Whole Year,Madhya Pradesh,Sannhamp,61852.00
Whole Year,Tamil Nadu,Pineapple,61431.00
Rabi,Assam,Dry chillies,61399.00
Rabi,Karnataka,Urad,61348.10
Kharif,Haryana,Other Kharif pulses,61200.00
Kharif,Odisha,Turmeric,61180.00
Whole Year,Sikkim,Potato,60460.00
Kharif,Andhra Pradesh,Horse-gram,60403.00
Whole Year,Andhra Pradesh,Other Fresh Fruits,60327.00
Kharif,Kerala,Cotton(lint),59982.00
Kharif,Chhattisgarh,Potato,59745.00
Whole Year,Arunachal Pradesh,Dry chillies,59559.00
Kharif,Rajasthan,Small millets,59264.40
Whole Year,Telangana,Grapes,59249.00
Kharif,Uttar Pradesh,Sunflower,59189.00
Rabi,Uttar Pradesh,Urad,58639.40
Kharif,Sikkim,Soyabean,58430.00
Whole Year,Chhattisgarh,Dry chillies,57822.00
Rabi,Punjab,Sunflower,57700.00
Rabi,West Bengal,Barley,57161.00
Whole Year,Jammu and Kashmir,Potato,57100.00
Whole Year,Tamil Nadu,Jack Fruit,57026.00
Whole Year,Telangana,Castor seed,56480.00
Whole Year,Karnataka,Other Fresh Fruits,56441.00
Rabi,Punjab,Masoor,55939.00
Kharif,West Bengal,Niger seed,55417.00
Rabi,Madhya Pradesh,Moong(Green Gram),55409.00
Kharif,Punjab,Urad,55210.00
Whole Year,Uttarakhand,Pulses total,54545.00
Whole Year,Kerala,Potato,54534.00
Rabi,Nagaland,Rice,54310.00
Winter,Odisha,Maize,53988.30
Winter,Puducherry,Rice,53568.00
Rabi,Andhra Pradesh,Rapeseed &Mustard,53480.00
Rabi,Jammu and Kashmir,Barley,53288.60
Whole Year,Goa,Banana,53190.00
Whole Year,Telangana,Citrus Fruit,52817.00
Whole Year,Karnataka,Pome Fruit,52741.00
Summer,Odisha,Wheat,52693.20
Rabi,Tamil Nadu,Potato,52531.00
Rabi,Odisha,Garlic,52280.00
Kharif,Maharashtra,Castor seed,52123.70
Kharif,Bihar,Bajra,51189.00
Whole Year,Manipur,Other Fresh Fruits,51089.00
Whole Year,Tamil Nadu,Garlic,50749.00
Kharif,Odisha,Other Kharif pulses,50621.00
Kharif,Tripura,Maize,50540.00
Kharif,Sikkim,Urad,50114.00
Kharif,Nagaland,Colocosia,49840.00
Rabi,Odisha,Dry chillies,49620.00
Rabi,Odisha,Rapeseed &Mustard,49578.30
Kharif,Himachal Pradesh,Urad,49390.00
Kharif,Sikkim,Other Kharif pulses,49095.00
Winter,Odisha,Groundnut,48690.60
Whole Year,Madhya Pradesh,Linseed,48563.00
Rabi,Tamil Nadu,Samai,48503.00
Rabi,Tamil Nadu,Horse-gram,48299.00
Rabi,Rajasthan,Linseed,48162.00
Rabi,Dadra and Nagar Haveli,Other  Rabi pulses,47987.00
Rabi,Odisha,Linseed,47699.00
Rabi,Andhra Pradesh,Cotton(lint),47645.00
Whole Year,Manipur,Dry chillies,47522.00
Kharif,Nagaland,Sweet potato,46990.00
Kharif,Nagaland,Other Kharif pulses,46740.00
Rabi,Karnataka,Moong(Green Gram),45650.00
Whole Year,Rajasthan,Sweet potato,45534.00
Rabi,Goa,Groundnut,45484.00
Whole Year,Tripura,Jute & mesta,45325.00
Rabi,Uttar Pradesh,Turmeric,45006.00
Whole Year,Uttar Pradesh,Dry chillies,45004.00
Kharif,Haryana,Gram,45000.00
Rabi,Jharkhand,Rapeseed &Mustard,44528.11
Kharif,Tamil Nadu,Castor seed,43901.53
Rabi,Himachal Pradesh,Rapeseed &Mustard,43406.00
Kharif,Tamil Nadu,Varagu,43322.00
Kharif,Madhya Pradesh,Dry ginger,43288.10
Rabi,Chhattisgarh,Barley,43205.00
Winter,Meghalaya,Potato,42957.00
Kharif,Nagaland,Sesamum,42750.00
Rabi,Uttar Pradesh,Moong(Green Gram),42217.10
Whole Year,Karnataka,Peas & beans (Pulses),42197.00
Rabi,Meghalaya,Wheat,42192.00
Rabi,Maharashtra,Rapeseed &Mustard,41722.50
Rabi,Tamil Nadu,Gram,41173.00
Rabi,Telangana,Potato,41069.00
Summer,Karnataka,Peas & beans (Pulses),41038.00
Whole Year,Madhya Pradesh,Papaya,40761.00
Kharif,Jammu and Kashmir,Urad,40748.50
Whole Year,Bihar,Dry chillies,40508.00
Kharif,Odisha,Jowar,40401.00
Rabi,Telangana,Horse-gram,40223.00
Whole Year,Madhya Pradesh,Khesari,40118.00
Whole Year,Odisha,Coriander,39577.00
Whole Year,Bihar,Garlic,39513.00
Rabi,Chandigarh,Wheat,39465.00
Whole Year,Chhattisgarh,Garlic,39447.00
Rabi,Nagaland,Barley,39200.00
Kharif,Bihar,Sesamum,39188.00
Summer,Uttarakhand,Total foodgrain,39126.00
Rabi,Jammu and Kashmir,Potato,38900.70
Rabi,Andhra Pradesh,Other  Rabi pulses,38821.00
Rabi,Arunachal Pradesh,Rapeseed &Mustard,38730.00
Kharif,Chhattisgarh,Moong(Green Gram),38562.00
Kharif,Odisha,Dry chillies,38300.00
Whole Year,Gujarat,other oilseeds,38100.00
Whole Year,Manipur,Cabbage,37958.00
Kharif,Bihar,Sannhamp,37675.56
Kharif,Uttarakhand,Pulses total,37635.00
Whole Year,Arunachal Pradesh,Turmeric,37605.00
Rabi,Andhra Pradesh,Cabbage,37504.00
Whole Year,Haryana,Garlic,37400.00
Rabi,West Bengal,Linseed,37388.00
Winter,Odisha,Rapeseed &Mustard,36956.80
Kharif,Gujarat,other oilseeds,36900.00
Kharif,Nagaland,Oilseeds total,35950.00
Kharif,Chhattisgarh,Mesta,35907.00
Kharif,Telangana,Horse-gram,35734.00
Kharif,Puducherry,Paddy,35588.00
Whole Year,Arunachal Pradesh,Pulses total,35498.00
Rabi,Meghalaya,Jute,35304.00
Kharif,Andhra Pradesh,Cabbage,34615.00
Rabi,Karnataka,Peas & beans (Pulses),34512.00
Whole Year,Telangana,Bhindi,34510.00
Kharif,Chhattisgarh,Ragi,34285.00
Whole Year,Bihar,Turmeric,34168.00
Kharif,West Bengal,Garlic,33728.00
Rabi,Nagaland,Oilseeds total,33550.00
Whole Year,Karnataka,Coriander,33380.00
Kharif,Bihar,Sweet potato,33058.00
Whole Year,Telangana,Coriander,32973.00
Kharif,Goa,Groundnut,32931.00
Whole Year,Tamil Nadu,Gram,32748.00
Autumn,Puducherry,Rice,32535.00
Whole Year,Karnataka,Cashewnut Raw,32375.00
Kharif,Jharkhand,Arhar/Tur,32220.12
Rabi,Andhra Pradesh,Potato,32187.00
Kharif,West Bengal,Sannhamp,31849.00
Whole Year,Punjab,Moong(Green Gram),31700.00
Kharif,Dadra and Nagar Haveli,Ragi,31087.00
Kharif,Tamil Nadu,Samai,31032.00
Whole Year,Tamil Nadu,Castor seed,30938.00
Kharif,Jammu and Kashmir,Potato,30900.20
Rabi,Himachal Pradesh,Onion,30803.00
Kharif,Uttar Pradesh,Cotton(lint),30768.00
Kharif,Manipur,Dry ginger,30700.00
Kharif,Odisha,Castor seed,30490.00
Kharif,Karnataka,Mesta,30472.00
Rabi,Andhra Pradesh,Cowpea(Lobia),30449.00
Kharif,Andhra Pradesh,Other Kharif pulses,30037.00
Rabi,Madhya Pradesh,Urad,29966.00
Rabi,Andhra Pradesh,Coriander,29915.00
Whole Year,Jammu and Kashmir,Other Vegetables,29895.00
Summer,Odisha,Urad,29885.80
Whole Year,Andhra Pradesh,Dry ginger,29653.00
Autumn,West Bengal,Dry chillies,29590.00
Whole Year,Telangana,Cashewnut,29572.00
Rabi,Odisha,Sunflower,29455.00
Whole Year,Andaman and Nicobar Islands,Sugarcane,29305.72
Kharif,Telangana,Ginger,29243.00
Kharif,Gujarat,Small millets,28800.00
Kharif,Kerala,Groundnut,28643.00
Summer,Odisha,Sesamum,28565.80
Rabi,Odisha,Maize,28460.00
Whole Year,Bihar,Ragi,28348.00
Whole Year,Chhattisgarh,Dry ginger,28148.00
Kharif,Nagaland,Groundnut,28070.00
Whole Year,Andaman and Nicobar Islands,Arecanut,27735.81
Rabi,Telangana,Other  Rabi pulses,27573.00
Kharif,Mizoram,Other Kharif pulses,26841.00
Rabi,Tripura,Wheat,26804.00
Kharif,Chhattisgarh,Other Kharif pulses,26764.00
Kharif,Telangana,Tobacco,26700.00
Rabi,Odisha,Sesamum,26690.00
Rabi,Maharashtra,Other Cereals & Millets,26500.00
Rabi,Telangana,Tobacco,26311.00
Whole Year,Andhra Pradesh,Castor seed,25783.00
Kharif,Uttarakhand,Ginger,24774.00
Kharif,Nagaland,Peas & beans (Pulses),24680.00
Kharif,Uttar Pradesh,Dry ginger,24611.00
Rabi,Uttar Pradesh,Coriander,24523.00
Rabi,Telangana,Arhar/Tur,24260.00
Whole Year,Telangana,Beans & Mutter(Vegetable),24236.00
Kharif,Nagaland,Bajra,24230.00
Rabi,Karnataka,Cowpea(Lobia),24183.00
Kharif,Meghalaya,Small millets,24160.00
Autumn,Andaman and Nicobar Islands,Rice,23916.00
Rabi,Telangana,Cowpea(Lobia),23425.00
Rabi,Chhattisgarh,Moong(Green Gram),23384.00
Whole Year,Karnataka,Cardamom,23351.00
Winter,Odisha,Arhar/Tur,23305.00
Kharif,Tripura,Cotton(lint),23125.00
Rabi,Odisha,Castor seed,23070.00
Rabi,Assam,Blackgram,23058.00
Rabi,Assam,Black pepper,22720.00
Kharif,Andhra Pradesh,Soyabean,22459.00
Kharif,Uttarakhand,Arhar/Tur,22438.00
Rabi,Andhra Pradesh,Arhar/Tur,22435.00
Kharif,Andhra Pradesh,Grapes,22314.00
Rabi,Tripura,Rapeseed &Mustard,22235.00
Kharif,Uttarakhand,Groundnut,22188.00
Rabi,West Bengal,Moong(Green Gram),22177.00
Kharif,Haryana,Groundnut,21971.00
Rabi,Sikkim,Other Cereals & Millets,21957.00
Whole Year,Manipur,Papaya,21940.00
Kharif,Chhattisgarh,Sunflower,21857.00
Kharif,Madhya Pradesh,Sannhamp,21802.00
Kharif,Manipur,Peas & beans (Pulses),21791.00
Rabi,Maharashtra,Small millets,21700.00
Whole Year,Uttarakhand,Turmeric,21601.00
Rabi,West Bengal,Horse-gram,21518.00
Rabi,Assam,Gram,21325.00
Kharif,Gujarat,Dry chillies,21300.00
Kharif,Meghalaya,Soyabean,21226.00
Whole Year,Madhya Pradesh,Niger seed,21058.00
Kharif,West Bengal,Small millets,21016.00
Kharif,Nagaland,Jowar,20840.00
Rabi,Jharkhand,Masoor,20718.32
Whole Year,Meghalaya,Dry chillies,20278.00
Rabi,Dadra and Nagar Haveli,Rice,20208.00
Kharif,Himachal Pradesh,Other Kharif pulses,20185.00
Rabi,Mizoram,Rice,20078.00
Rabi,Mizoram,Other  Rabi pulses,20074.00
Whole Year,Telangana,Ginger,20051.00
Summer,Uttarakhand,Moong(Green Gram),20023.00
Rabi,Andhra Pradesh,Sweet potato,19734.00
Autumn,Maharashtra,Maize,19695.00
Rabi,Haryana,Peas & beans (Pulses),19624.00
Rabi,Bihar,Sweet potato,19474.00
Kharif,Dadra and Nagar Haveli,Arhar/Tur,19438.00
Summer,Puducherry,Paddy,19433.00
Kharif,West Bengal,Arhar/Tur,19378.00
Whole Year,Uttarakhand,Garlic,19372.00
Kharif,Jammu and Kashmir,Sesamum,19269.30
Kharif,Mizoram,Sesamum,19264.00
Rabi,Meghalaya,Other  Rabi pulses,19256.00
Whole Year,Odisha,Tobacco,19067.00
Kharif,Haryana,Sunflower,18900.00
Rabi,West Bengal,Small millets,18897.00
Whole Year,Tripura,Oilseeds total,18800.00
Kharif,Bihar,Blackgram,18601.00
Rabi,Odisha,Masoor,18570.00
Whole Year,Manipur,Cauliflower,18433.00
Kharif,Haryana,Sesamum,18379.00
Kharif,Telangana,Mesta,18377.00
Whole Year,Assam,Black pepper,18343.00
Rabi,Sikkim,Barley,18198.00
Whole Year,Sikkim,Other Fresh Fruits,18190.00
Rabi,Nagaland,Masoor,18110.00
Whole Year,Gujarat,Ragi,17900.00
Rabi,Nagaland,Sunflower,17890.00
