State_Name,Crop,Production
Kerala,Groundnut,31179.00
Dadra and Nagar Haveli,Ragi,31087.00
Odisha,Sunflower,30965.00
Uttar Pradesh,Cotton(lint),30768.00
Andaman and Nicobar Islands,Sugarcane,30638.67
Uttar Pradesh,Coriander,30592.00
Jammu and Kashmir,Other Vegetables,29895.00
Nagaland,Groundnut,29780.00
West Bengal,Horse-gram,28186.00
Chhattisgarh,Dry ginger,28148.00
Andhra Pradesh,Grapes,27734.00
Telangana,Other  Rabi pulses,27573.00
Mizoram,Other Kharif pulses,26841.00
Tripura,Wheat,26804.00
Chhattisgarh,Other Kharif pulses,26764.00
Telangana,Cowpea(Lobia),26550.00
Uttar Pradesh,Dry ginger,24611.00
Telangana,Beans & Mutter(Vegetable),24236.00
Nagaland,Bajra,24230.00
Karnataka,Rapeseed &Mustard,23823.10
Puducherry,Groundnut,23511.00
Karnataka,Cardamom,23351.00
Manipur,Peas & beans (Pulses),23331.00
Tripura,Cotton(lint),23125.00
Assam,Blackgram,23058.00
Andhra Pradesh,Soyabean,23028.00
Uttarakhand,Arhar/Tur,22438.00
Tripura,Rapeseed &Mustard,22235.00
Uttarakhand,Groundnut,22188.00
Haryana,Groundnut,21971.00
Sikkim,Other Cereals & Millets,21957.00
Manipur,Papaya,21940.00
Chhattisgarh,Sunflower,21907.00
Uttar Pradesh,Guar seed,21818.00
Meghalaya,Dry chillies,21653.00
Uttarakhand,Turmeric,21601.00
Assam,Gram,21325.00
Meghalaya,Soyabean,21226.00
Mizoram,Potato,21163.00
Nagaland,Jowar,20840.00
Jharkhand,Masoor,20718.32
Uttarakhand,Moong(Green Gram),20294.00
Himachal Pradesh,Other Kharif pulses,20185.00
Puducherry,Mango,20167.00
Mizoram,Other  Rabi pulses,20074.00
Dadra and Nagar Haveli,Arhar/Tur,20068.00
Haryana,Peas & beans (Pulses),19624.00
Uttarakhand,Garlic,19372.00
Jammu and Kashmir,Sesamum,19269.30
Mizoram,Sesamum,19264.00
Meghalaya,Other  Rabi pulses,19256.00
Odisha,Tobacco,19067.00
Tripura,Oilseeds total,18800.00
Bihar,Blackgram,18601.00
Nagaland,Rajmash Kholar,18590.00
Odisha,Masoor,18570.00
Manipur,Cauliflower,18433.00
Haryana,Sesamum,18379.00
Telangana,Mesta,18377.00
Sikkim,Barley,18198.00
Sikkim,Other Fresh Fruits,18190.00
Nagaland,Masoor,18110.00
Meghalaya,Sesamum,18024.00
Goa,Mango,17831.00
Mizoram,other oilseeds,17738.00
Tripura,Other Kharif pulses,17732.00
Manipur,Beans & Mutter(Vegetable),17643.00
Himachal Pradesh,Garlic,17590.00
Dadra and Nagar Haveli,Wheat,17134.00
Himachal Pradesh,Sesamum,16966.00
Haryana,Sweet potato,16900.00
Tamil Nadu,Citrus Fruit,16843.00
Meghalaya,Peas & beans (Pulses),16790.00
Mizoram,Tapioca,16481.00
Uttarakhand,Linseed,16239.00
Himachal Pradesh,Ginger,15615.00
Nagaland,Moong(Green Gram),15540.00
Mizoram,Soyabean,15240.00
Bihar,Coriander,14971.00
Manipur,Onion,14915.00
Nagaland,Tea,14902.00
Tamil Nadu,Sannhamp,14844.00
Kerala,Jowar,14411.00
Madhya Pradesh,Mesta,14395.00
Uttar Pradesh,Sannhamp,14349.00
Madhya Pradesh,Sunflower,14152.15
Chhattisgarh,Coriander,14081.00
Nagaland,Mesta,14070.00
Chandigarh,Potato,13795.00
Telangana,Other Kharif pulses,13718.00
Himachal Pradesh,Ragi,13608.00
Meghalaya,Arhar/Tur,13502.00
Tripura,Arhar/Tur,13326.00
Andaman and Nicobar Islands,Dry ginger,12675.60
Tripura,Sesamum,12652.00
Rajasthan,Tobacco,12541.00
Telangana,Sweet potato,12512.00
Madhya Pradesh,Castor seed,12421.22
Assam,Cotton(lint),12341.00
Chhattisgarh,Turmeric,12288.00
Odisha,Bajra,12119.00
Puducherry,Urad,12012.00
Puducherry,Cotton(lint),11890.00
Haryana,Mango,11767.00
Dadra and Nagar Haveli,Other Kharif pulses,11739.00
Telangana,Small millets,11719.00
Haryana,Urad,11318.00
Manipur,Citrus Fruit,11237.00
Mizoram,Rapeseed &Mustard,11187.00
Goa,Pineapple,10985.00
Himachal Pradesh,Horse-gram,10770.00
Jammu and Kashmir,Gram,10681.10
Andhra Pradesh,Wheat,10595.00
Tripura,Urad,10455.00
Nagaland,Gram,10350.00
Manipur,Other Kharif pulses,10316.00
Chhattisgarh,Papaya,10187.00
Kerala,Ragi,10183.00
Meghalaya,Gram,10179.00
Bihar,Dry ginger,10142.00
Himachal Pradesh,Gram,10114.00
Haryana,Castor seed,10106.00
Tripura,Other  Rabi pulses,9806.00
Chhattisgarh,Sannhamp,9775.00
Assam,Castor seed,9727.00
Jammu and Kashmir,Peas & beans (Pulses),9693.30
Himachal Pradesh,Soyabean,9319.00
Tripura,Groundnut,9315.00
Tamil Nadu,Orange,9314.00
Meghalaya,Tobacco,9201.00
Andhra Pradesh,Safflower,8994.00
Dadra and Nagar Haveli,Urad,8977.00
West Bengal,Other Kharif pulses,8948.00
Manipur,Tomato,8938.00
Mizoram,Cotton(lint),8868.00
Meghalaya,Papaya,8760.00
Puducherry,Moong(Green Gram),8747.00
Tripura,Peas & beans (Pulses),8711.00
West Bengal,Safflower,8709.00
Telangana,Korra,8690.00
Madhya Pradesh,Jute,8650.00
Rajasthan,Sannhamp,8546.00
Uttarakhand,Gram,8542.00
Haryana,Moth,8522.00
Telangana,Linseed,8496.00
Maharashtra,Pulses total,8439.00
Tamil Nadu,Black pepper,8272.00
Chhattisgarh,Other  Rabi pulses,8224.00
Maharashtra,other oilseeds,8200.00
Karnataka,Cashewnut Processed,8121.00
West Bengal,Jowar,8090.00
Andaman and Nicobar Islands,Tapioca,7937.00
Dadra and Nagar Haveli,Jowar,7771.00
Meghalaya,Kapas,7684.00
Puducherry,Brinjal,7684.00
Bihar,Groundnut,7544.00
Jammu and Kashmir,Other Kharif pulses,7533.20
Uttarakhand,other oilseeds,7417.00
Jammu and Kashmir,Onion,7413.30
Uttarakhand,Lentil,7352.00
Telangana,Rapeseed &Mustard,7190.00
Sikkim,Oilseeds total,7040.00
West Bengal,Soyabean,7009.00
Rajasthan,Dry ginger,6960.00
Nagaland,Cotton(lint),6830.00
Assam,other misc. pulses,6672.00
Arunachal Pradesh,Soyabean,6465.00
Odisha,Safflower,6422.00
Andhra Pradesh,Varagu,6355.00
Assam,Tobacco,6355.00
Uttarakhand,Sesamum,6344.00
Punjab,Other  Rabi pulses,6300.00
Nagaland,Bean,6240.00
Jharkhand,Barley,5790.52
Goa,Arecanut,5790.00
Jammu and Kashmir,Moong(Green Gram),5773.80
Tripura,Masoor,5614.00
West Bengal,Cardamom,5611.70
Sikkim,Pulses total,5595.00
Tripura,Moong(Green Gram),5563.00
Kerala,Sesamum,5527.36
Nagaland,Ricebean (nagadal),5230.00
Kerala,Arhar/Tur,5224.00
Manipur,Bhindi,5180.00
Manipur,Sesamum,5130.00
Manipur,Orange,5097.00
Jammu and Kashmir,Sugarcane,4968.70
Uttarakhand,Tobacco,4960.00
Meghalaya,Pulses total,4952.00
Dadra and Nagar Haveli,Banana,4808.00
Tamil Nadu,Cardamom,4748.00
Rajasthan,Turmeric,4743.00
Meghalaya,Cowpea(Lobia),4668.00
Meghalaya,Black pepper,4510.00
Jammu and Kashmir,Small millets,4468.00
Goa,Ragi,4432.58
Uttar Pradesh,Ginger,4354.00
Meghalaya,Sugarcane,4286.00
Chandigarh,Maize,4225.00
Jammu and Kashmir,Jowar,4062.90
Himachal Pradesh,Linseed,4060.00
Nagaland,Turmeric,4050.00
Manipur,Carrot,4044.00
Bihar,Safflower,4032.00
Manipur,Pome Fruit,4027.00
Nagaland,Dry chillies,4020.00
Andaman and Nicobar Islands,Dry chillies,4018.30
Manipur,Sweet potato,4000.00
Manipur,Rapeseed &Mustard,3980.00
Karnataka,Papaya,3951.00
Maharashtra,Tobacco,3900.00
Haryana,Grapes,3893.00
Chandigarh,Rice,3853.00
Andhra Pradesh,Arecanut,3784.00
Manipur,Redish,3706.00
Tamil Nadu,Korra,3640.00
Kerala,Tobacco,3616.00
Mizoram,Tobacco,3560.00
Tripura,other oilseeds,3520.00
Manipur,Other Vegetables,3471.00
Meghalaya,Masoor,3451.00
Telangana,Garlic,3450.00
Haryana,Horse-gram,3436.00
Nagaland,Lentil,3410.00
Himachal Pradesh,Masoor,3329.00
Dadra and Nagar Haveli,Small millets,3289.00
Bihar,Castor seed,3137.00
Manipur,Jack Fruit,3087.00
Andaman and Nicobar Islands,Sweet potato,3065.35
Jammu and Kashmir,Dry chillies,3045.90
Puducherry,Bajra,3040.00
Manipur,Brinjal,3030.00
Andhra Pradesh,Ginger,3003.00
Chhattisgarh,Safflower,2982.00
Puducherry,Ragi,2904.00
Manipur,Tapioca,2858.00
Nagaland,Castor seed,2810.00
Manipur,Soyabean,2717.00
Tamil Nadu,Mesta,2657.00
Punjab,Linseed,2600.00
Sikkim,Other  Rabi pulses,2546.00
Nagaland,Urad,2470.00
Dadra and Nagar Haveli,Gram,2397.00
Dadra and Nagar Haveli,Niger seed,2378.00
Madhya Pradesh,Ragi,2371.80
Uttar Pradesh,Ragi,2369.00
Nagaland,Blackgram,2280.00
Jammu and Kashmir,Cond-spcs other,2260.40
Telangana,Other Fresh Fruits,2253.00
Chhattisgarh,Cotton(lint),2181.00
Madhya Pradesh,Cowpea(Lobia),2110.00
Jammu and Kashmir,Moth,2069.00
Manipur,Mango,2025.00
Haryana,Coriander,2007.00
Uttarakhand,Dry chillies,2000.00
Kerala,Other Cereals & Millets,1989.00
Telangana,Niger seed,1985.00
Karnataka,Sannhamp,1934.00
Chandigarh,Onion,1884.00
Manipur,Turmeric,1884.00
Haryana,Sannhamp,1829.00
Punjab,Moth,1800.00
Himachal Pradesh,Dry chillies,1788.00
Jammu and Kashmir,Garlic,1776.80
Mizoram,Peas & beans (Pulses),1775.94
Nagaland,Ragi,1700.00
Nagaland,Cardamom,1690.00
Andaman and Nicobar Islands,Cashewnut,1684.79
Tamil Nadu,Rapeseed &Mustard,1653.10
West Bengal,Bajra,1612.00
Telangana,other misc. pulses,1606.00
Madhya Pradesh,Safflower,1593.48
Andaman and Nicobar Islands,Turmeric,1593.03
Nagaland,Horse-gram,1580.00
Arunachal Pradesh,Sesamum,1568.00
Puducherry,Sesamum,1537.00
Puducherry,Cashewnut,1534.00
Goa,Other Kharif pulses,1485.00
Puducherry,Rapeseed &Mustard,1465.00
Puducherry,Onion,1459.00
Andhra Pradesh,Linseed,1458.00
Andhra Pradesh,other misc. pulses,1426.00
Nagaland,Cowpea(Lobia),1420.00
Nagaland,Perilla,1410.00
Uttarakhand,Sunflower,1380.00
Meghalaya,Oilseeds total,1344.00
Himachal Pradesh,Moong(Green Gram),1324.00
Tripura,Gram,1323.00
Himachal Pradesh,Bajra,1293.00
Jammu and Kashmir,Linseed,1268.50
Uttarakhand,Sannhamp,1262.00
Mizoram,Arhar/Tur,1260.00
Arunachal Pradesh,Groundnut,1202.00
Nagaland,Jobster,1180.00
Telangana,Samai,1160.00
Meghalaya,Garlic,1139.00
Dadra and Nagar Haveli,Maize,1100.00
Goa,Black pepper,1090.00
Kerala,Small millets,1077.00
Puducherry,Arecanut,1050.00
Himachal Pradesh,Groundnut,1004.30
Rajasthan,Sunflower,973.00
Haryana,Turmeric,965.00
Jammu and Kashmir,Other  Rabi pulses,950.40
Uttarakhand,Other  Rabi pulses,892.00
Jammu and Kashmir,Beans & Mutter(Vegetable),876.00
Mizoram,Kapas,856.00
West Bengal,Castor seed,828.00
Madhya Pradesh,Tobacco,814.02
Chhattisgarh,Bajra,733.00
Puducherry,Other Cereals & Millets,729.00
Andaman and Nicobar Islands,Black pepper,724.50
Puducherry,Other  Rabi pulses,698.00
Uttar Pradesh,Moth,692.50
Jammu and Kashmir,Sannhamp,684.60
West Bengal,Other  Rabi pulses,674.00
Kerala,Jack Fruit,661.00
Andaman and Nicobar Islands,Other Kharif pulses,649.00
Himachal Pradesh,Turmeric,646.00
Bihar,Niger seed,615.00
Jammu and Kashmir,Horse-gram,600.00
Kerala,Dry chillies,598.00
Manipur,Bottle Gourd,598.00
Himachal Pradesh,Arhar/Tur,591.00
Andaman and Nicobar Islands,Moong(Green Gram),575.50
Dadra and Nagar Haveli,Sannhamp,523.00
Meghalaya,Linseed,522.00
Chandigarh,Rapeseed &Mustard,521.00
Telangana,Tapioca,518.00
Himachal Pradesh,Coriander,495.00
Bihar,Cotton(lint),488.00
Andaman and Nicobar Islands,Urad,475.00
Chhattisgarh,Castor seed,459.00
Puducherry,Dry ginger,456.00
Himachal Pradesh,Other  Rabi pulses,432.00
Arunachal Pradesh,Sunflower,425.00
Jammu and Kashmir,other oilseeds,413.50
Punjab,Jowar,400.00
Rajasthan,Papaya,400.00
Mizoram,Moong(Green Gram),397.90
Meghalaya,Castor seed,370.00
Andaman and Nicobar Islands,Maize,367.62
Puducherry,Dry chillies,367.00
Jammu and Kashmir,Turnip,363.00
Manipur,Bitter Gourd,353.00
Mizoram,Groundnut,329.00
Jammu and Kashmir,Masoor,309.70
Meghalaya,Coriander,306.00
Jammu and Kashmir,Other Cereals & Millets,302.70
Rajasthan,Tapioca,264.00
Manipur,Cotton(lint),260.00
Andaman and Nicobar Islands,other oilseeds,248.31
Jammu and Kashmir,Redish,230.00
Chhattisgarh,Tobacco,227.00
Manipur,Cashewnut,223.00
Mizoram,Urad,219.66
Jammu and Kashmir,Dry ginger,209.70
Dadra and Nagar Haveli,Groundnut,205.00
Uttarakhand,Moth,205.00
Haryana,Dry ginger,200.00
Dadra and Nagar Haveli,Sesamum,194.00
Mizoram,Masoor,187.33
Sikkim,other oilseeds,174.00
Himachal Pradesh,Cotton(lint),158.00
Uttarakhand,Bajra,157.00
Kerala,Maize,155.00
Puducherry,Sweet potato,154.00
Puducherry,Other Kharif pulses,117.00
Tamil Nadu,Wheat,110.00
Jammu and Kashmir,Cotton(lint),109.60
Uttar Pradesh,Jute,105.00
Uttar Pradesh,Castor seed,104.20
Andaman and Nicobar Islands,Arhar/Tur,104.00
Puducherry,Black pepper,103.00
Mizoram,Wheat,101.00
Himachal Pradesh,Jowar,89.20
Chandigarh,Arhar/Tur,88.00
Himachal Pradesh,Moth,84.00
Himachal Pradesh,Tobacco,84.00
Manipur,Jute,80.00
Himachal Pradesh,Sannhamp,77.00
Jammu and Kashmir,Turmeric,61.50
Jammu and Kashmir,Groundnut,60.60
Dadra and Nagar Haveli,Rapeseed &Mustard,56.00
Chandigarh,Urad,51.00
Manipur,Rubber,50.00
Puducherry,Jowar,48.00
Puducherry,Turmeric,47.00
Mizoram,Gram,43.00
Mizoram,Coconut,40.00
Jammu and Kashmir,Tobacco,35.00
Rajasthan,Mesta,35.00
Chandigarh,Masoor,32.50
Mizoram,Sunflower,31.00
Chandigarh,Sunflower,28.00
West Bengal,Moth,27.00
Andhra Pradesh,Garlic,23.00
Jammu and Kashmir,Carrot,22.00
Chhattisgarh,Guar seed,21.00
Kerala,Soyabean,20.40
Manipur,Arhar/Tur,20.00
Madhya Pradesh,Brinjal,19.00
Puducherry,Coriander,18.00
Puducherry,Small millets,17.00
Telangana,Varagu,17.00
Andaman and Nicobar Islands,Groundnut,14.40
Kerala,Bhindi,13.00
Jammu and Kashmir,Arhar/Tur,12.10
Odisha,Soyabean,10.00
Tamil Nadu,Drum Stick,8.00
Chandigarh,Gram,7.00
Chandigarh,Moong(Green Gram),7.00
Puducherry,Sunflower,7.00
Dadra and Nagar Haveli,Sunflower,6.00
Tamil Nadu,Other Vegetables,5.00
Dadra and Nagar Haveli,Coriander,4.00
Kerala,Wheat,3.00
Jammu and Kashmir,Ginger,2.70
Andaman and Nicobar Islands,Sunflower,2.40
Manipur,Kapas,2.00
Uttarakhand,Jowar,2.00
Jammu and Kashmir,Coriander,1.10
Madhya Pradesh,other misc. pulses,0.21
Chhattisgarh,other misc. pulses,0.01
Andhra Pradesh,Bottle Gourd,0.00
Andhra Pradesh,Cucumber,0.00
Andhra Pradesh,other fibres,0.00
Andhra Pradesh,Other Vegetables,0.00
Andhra Pradesh,Peas  (vegetable),0.00
Haryana,Banana,0.00
Jammu and Kashmir,Other Fresh Fruits,0.00
Kerala,Bitter Gourd,0.00
Kerala,Brinjal,0.00
Kerala,Other Fresh Fruits,0.00
Kerala,other oilseeds,0.00
Kerala,Other Vegetables,0.00
Kerala,Snak Guard,0.00
Madhya Pradesh,Beans & Mutter(Vegetable),0.00
Madhya Pradesh,Bhindi,0.00
Madhya Pradesh,Cabbage,0.00
Madhya Pradesh,Cashewnut,0.00
Madhya Pradesh,Cauliflower,0.00
Madhya Pradesh,Citrus Fruit,0.00
Madhya Pradesh,Grapes,0.00
Madhya Pradesh,Mango,0.00
Madhya Pradesh,Orange,0.00
Madhya Pradesh,Other Citrus Fruit,0.00
Madhya Pradesh,Other Fresh Fruits,0.00
Madhya Pradesh,Other Vegetables,0.00
Madhya Pradesh,Pome Fruit,0.00
Madhya Pradesh,Tomato,0.00
Madhya Pradesh,Water Melon,0.00
Rajasthan,Banana,0.00
Rajasthan,Citrus Fruit,0.00
Rajasthan,Grapes,0.00
Rajasthan,Mango,0.00
Rajasthan,Oilseeds total,0.00
Rajasthan,Orange,0.00
Rajasthan,other fibres,0.00
Rajasthan,Other Fresh Fruits,0.00
Rajasthan,Other Vegetables,0.00
Rajasthan,Pome Fruit,0.00
Rajasthan,Water Melon,0.00
Tamil Nadu,Apple,0.00
Tamil Nadu,Ash Gourd,0.00
Tamil Nadu,Beans & Mutter(Vegetable),0.00
Tamil Nadu,Beet Root,0.00
Tamil Nadu,Ber,0.00
Tamil Nadu,Bitter Gourd,0.00
Tamil Nadu,Bottle Gourd,0.00
Tamil Nadu,Carrot,0.00
Tamil Nadu,Cauliflower,0.00
Tamil Nadu,Cucumber,0.00
Tamil Nadu,Lab-Lab,0.00
Tamil Nadu,Litchi,0.00
Tamil Nadu,Other Citrus Fruit,0.00
Tamil Nadu,Other Fresh Fruits,0.00
Tamil Nadu,Papaya,0.00
Tamil Nadu,Peach,0.00
Tamil Nadu,Pear,0.00
Tamil Nadu,Plums,0.00
Tamil Nadu,Pome Granet,0.00
Tamil Nadu,Pump Kin,0.00
Tamil Nadu,Redish,0.00
Tamil Nadu,Ribed Guard,0.00
Tamil Nadu,Snak Guard,0.00
Tamil Nadu,Turnip,0.00
Tamil Nadu,Water Melon,0.00
Tamil Nadu,Yam,0.00
Telangana,Bottle Gourd,0.00
Telangana,Cabbage,0.00
Telangana,Cucumber,0.00
Telangana,Other Dry Fruit,0.00
Telangana,other fibres,0.00
Telangana,Other Vegetables,0.00
Telangana,Peas  (vegetable),0.00
