State_Name,Crop,Production
Puducherry,Sugarcane,4151379.00
Jammu and Kashmir,Rice,4116594.40
Tamil Nadu,Onion,4026295.00
Telangana,Onion,4008473.00
Gujarat,Arhar/Tur,4005300.00
Rajasthan,Onion,3937989.00
Karnataka,Wheat,3856245.00
Manipur,Rice,3850798.00
Gujarat,Oilseeds total,3845031.00
Maharashtra,Urad,3831797.00
Kerala,Sugarcane,3819915.84
Rajasthan,Jowar,3719288.00
Andhra Pradesh,Tobacco,3695447.00
Jammu and Kashmir,Wheat,3690143.80
Telangana,Turmeric,3656290.00
Maharashtra,Banana,3634720.00
Haryana,Potato,3621500.00
Andhra Pradesh,other oilseeds,3595365.00
Meghalaya,Rice,3531474.00
Tamil Nadu,Guar seed,3514258.00
Tamil Nadu,Ragi,3507431.00
Rajasthan,Moth,3453484.10
Chhattisgarh,Khesari,3416795.00
Uttar Pradesh,Urad,3408835.40
Andhra Pradesh,Tomato,3366529.00
Andhra Pradesh,Sunflower,3248789.00
Uttarakhand,Total foodgrain,3225930.00
Rajasthan,Moong(Green Gram),3031373.00
Madhya Pradesh,Garlic,2986350.00
Chhattisgarh,Gram,2963354.00
Bihar,Banana,2884412.00
Meghalaya,Potato,2853298.00
Bihar,Mesta,2842240.00
Uttarakhand,Potato,2811721.00
Arunachal Pradesh,Rice,2709476.60
Andhra Pradesh,Papaya,2700821.00
Rajasthan,Rice,2684728.00
Odisha,Maize,2667442.80
Gujarat,Jowar,2625900.00
Madhya Pradesh,Masoor,2596700.00
Uttar Pradesh,Sweet potato,2556292.00
Gujarat,Tobacco,2538400.00
Rajasthan,Coriander,2537778.00
West Bengal,Sesamum,2506228.00
Chhattisgarh,Sugarcane,2499956.00
Assam,Rapeseed &Mustard,2495723.00
Bihar,Masoor,2435684.00
Gujarat,Garlic,2394300.00
Uttarakhand,Ragi,2375091.00
Maharashtra,Ragi,2370535.00
Chhattisgarh,Maize,2351292.00
Madhya Pradesh,Urad,2350726.00
Tamil Nadu,Urad,2301018.00
Tamil Nadu,Bajra,2300092.00
Gujarat,Sesamum,2241400.00
Nagaland,Sugarcane,2216170.00
Karnataka,Dry chillies,2181071.00
Uttar Pradesh,Tobacco,2130702.00
Odisha,Sweet potato,2118227.00
Maharashtra,Sunflower,2110434.00
Karnataka,Horse-gram,2098207.00
Tamil Nadu,Turmeric,2078659.00
Gujarat,Gram,1993000.00
